timestamp_utc,equity,token_pair,equity_price,token_price,premium_discount_pct,bid_depth_1pct_usd,ask_depth_1pct_usd,orderbook_imbalance,spread_pct,score,label,signal_label,confidence,reason,action
2026-05-03T18:04:24.194548+00:00,AAPL,AAPLx/USD,280.1499938964844,280.13,-0.0071368541566941,198973.486915,202620.33564185,-0.0090809383063499,0.8711885500933375,15,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,HOLD
2026-05-03T18:04:24.630570+00:00,NVDA,NVDAx/USD,198.4199981689453,201.18,1.3909897472656372,13437.629302519998,163830.52295402,-0.8483920644349783,0.4633897207204996,-35,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",HOLD
2026-05-03T18:04:25.036304+00:00,TSLA,TSLAx/USD,390.6600036621094,408.26,4.505195354760005,0.0,0.0,,9.061231805205276,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:04:25.428291+00:00,MSFT,MSFTx/USD,414.510009765625,421.76,1.749050701688562,0.0,0.0,,3.959866870733415,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:04:25.812556+00:00,AMZN,AMZNx/USD,268.3399963378906,262.35,-2.2322413429372143,0.0,0.0,,4.610343139101287,-55,NEGATIVE WATCH,DISCOUNT,MEDIUM NEGATIVE,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:07:48.249690+00:00,AAPL,AAPLx/USD,280.1499938964844,280.13,-0.0071368541566941,199034.23664200003,202686.67598185004,-0.0090919820827698,0.8711885500933375,15,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,HOLD
2026-05-03T18:07:48.660549+00:00,NVDA,NVDAx/USD,198.4199981689453,201.18,1.3909897472656372,13437.629302519998,163830.52295402,-0.8483920644349783,0.4633897207204996,-35,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",HOLD
2026-05-03T18:07:49.071212+00:00,TSLA,TSLAx/USD,390.6600036621094,408.26,4.505195354760005,0.0,0.0,,8.914133660833071,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:07:49.446712+00:00,MSFT,MSFTx/USD,414.510009765625,421.76,1.749050701688562,0.0,0.0,,3.959866870733415,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:07:49.942327+00:00,AMZN,AMZNx/USD,268.3399963378906,262.35,-2.2322413429372143,0.0,0.0,,4.610343139101287,-55,NEGATIVE WATCH,DISCOUNT,MEDIUM NEGATIVE,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:17:30.598608+00:00,AAPL,AAPLx/USD,280.1499938964844,280.13,-0.0071368541566941,199036.079522,202685.04169385,-0.0090833216854668,0.8711885500933375,15,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is moderate.,HOLD
2026-05-03T18:17:31.000055+00:00,NVDA,NVDAx/USD,198.4199981689453,201.18,1.3909897472656372,13452.94361632,163789.01892302,-0.8481968556025886,0.3984857541342812,-35,NEUTRAL,NO MATERIAL DISLOCATION,LOW,"Tokenized price is close to the underlying equity. Seller pressure is stronger than buyer pressure. Liquidity depth is thin, so the signal is less reliable. Spread is moderate.",HOLD
2026-05-03T18:17:31.400314+00:00,TSLA,TSLAx/USD,390.6600036621094,408.26,4.505195354760005,0.0,0.0,,8.463433626511094,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:17:31.943273+00:00,MSFT,MSFTx/USD,414.510009765625,421.76,1.749050701688562,0.0,0.0,,3.959866870733415,5,NEUTRAL,PREMIUM,LOW,"Tokenized price is trading above the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-03T18:17:32.387465+00:00,AMZN,AMZNx/USD,268.3399963378906,262.35,-2.2322413429372143,0.0,0.0,,4.610343139101287,-55,NEGATIVE WATCH,DISCOUNT,MEDIUM NEGATIVE,"Tokenized price is trading below the underlying equity. Order book imbalance data is unavailable. Liquidity depth is thin, so the signal is less reliable. Spread is wide.",HOLD
2026-05-04T18:25:53.986782+00:00,AAPL,AAPLx/USD,276.7300109863281,277.19,0.166223031622905,333765.17458308,335556.6629503599,-0.0026765724152701,0.0614283907568191,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
2026-05-04T18:25:54.390472+00:00,NVDA,NVDAx/USD,198.05499267578125,198.59,0.2701306929911975,369682.97134752,342330.57341552,0.0384155584302865,0.0403938399394155,25,NEUTRAL,NO MATERIAL DISLOCATION,LOW,Tokenized price is close to the underlying equity. Order book pressure is balanced. Liquidity depth is sufficient. Spread is tight.,HOLD
